course_id,course_name,summary,category_name,duration_hours,recommended_grade,course_structure
3,people management,"в данном курсе вы познакомитесь с такими темами, как принципы эффективной мотивации, руководство как наставничество, развивающая обратная связь, ситуационное лидерство, стили руководства, психология управления.",Pm/Dm,8.0,M,"тема 1 наставничество, тема 2 мотивация на успех. принципы эффективной мотивации, тема 3 мотивация сотрудников на обучение, тема 4 руководитель как наставник, тема 5 развивающая обратная связь, тема 6 ситуационное лидерство, тема 7 стили руководства, тема 8 психология управления. главные ошибки руководителя, тема 9 итоговый тест по теме people management, фидбэк о курсе"
4,interview training for recruiters,"собеседование является одним из наиболее распространенных методов отбора и оценки персонала. несмотря на внешнюю простоту процесса, оно является одним из самых трудоемких процессов, требующим обязательной подготовки проводящего его сотрудника.",Hr/Recruiters,4.0,J,"тема 1 проведение собеседований , topic 2, фидбэк о курсе"
6,fundamentals of testing,"в данном курсе вы изучите такие темы, как классификация тестирования, анализ и спецификация требований, жц бага, багтрекинговые системы, тестовая документация, интеграционное и мобильное тестирование, тестирование бд.",Qa,28.0,J,"лекция 1 - введение в тестирование. основные понятия, лекция 2 - классификация тестирования. спецификация и анализ требований, лекция 3 - отчёты о дефектах. жизненный цикл бага. багтрекинговые системы, лекция 4 - тестовая документация. чек-листы и тест-кейсы, лекция 5 - техники тест-дизайна, лекция 6 - планирование и оценка трудозатрат, леция 7 - тестирование web. тестирование ui и верстки, лекция 8 - интеграционное тестирование. тестирование api. программное обеспечение, применяемое при тестировании api, лекция 9 - базы данных и их разновидности. запросы на выборку и мод"
7,art of negotiations,"в данном курсе вы изучите такие темы, как базовые понятия в переговорах, основные переговорные техники, разделение ответственности, изменение договоренностей, управление конфликтами, манипуляции и другое.",Soft Skills,36.0,,"topic 1, topic 2, topic 3, topic 4, topic 5, topic 6, topic 7, порядок проведения управленческого поединка, рекомендованная литература, управленческие поединки, итоговый тест, фидбэк о курсе"
8,people management 3.0 (rus),"в данном курсе вы изучите такие темы, как лидерство, командная динамика, делегирование, обратная связь, мотивация и жизненный цикл сотрудника, 1-to-1 meetings, индивидуальные планы развития и разрешение конфликтов.",Pm/Dm,24.0,J,"введение, 1. лидерство, 2. теория ситуационного лидерства, 3. командная динамика, 4. делегирование, 5. фидбек, 6. мотивация, 7. мотивация 2.0, 8. жизненный цикл сотрудника, 9. one-on-one meetings, 10. индивидуальные планы развития, 11. практическое занятие, 12. разрешение конфликтов, итоговый тест к курсу, фидбэк о курсе"
9,interview training for pm,"в данном курсе вы изучите такие темы, как проведение интервью, специфика, стили руководства, внутренняя и внешняя мотивация, анализ речи, проективные вопросы, факт/гипотеза, методика star, paei, disc, типы предпочтений.",Soft Skills,8.0,,"занятие 1, проверка усвоенного материала, занятие 2, занятие 3, фидбэк о курсе"
10,hr talks,"в данном курсе вы изучите такие темы, как мотивация, удержание сотрудников, командообразование, как правильно увольнять сотрудников, классификация адизеса, прокачивание эмоционального интеллекта.",Hr/Recruiters,16.0,J,"мотивация (анастасия демидова), удержание сотрудников (retention) (анастасия демидова), командообразование, как правильно увольнять сотрудников, классификация адизеса, как прокачать эмоциональный интеллект, быть или не быть... ивентором, дополнительные материалы, фидбэк о курсе"
11,intro to salesforce,"в данном курсе вы познакомитесь с такими темами, как о сновы облачных технологий; модели обслуживания saas, paas, iaas; введение в salesforce; основные направления разработки; знакомство с trailhead.",Salesforce,3.0,J,"знакомство с salesforce, знакомство с salesforce (ч.2), итоговый тест по основам salesforce, фидбэк о курсе"
12,"js online (odessa, 19-20)","работа с функциями, объекты и контекст, прототипы, асинхронная модель, работа с сетью, dom и bom, es 6, 7, 8, паттерны проектирования, архитектура, инструментарий web-разработчика",Js Core,24.0,J,"тема 1. intro, тема 2. работа с функциями, тема 3. объекты и контекст, тема 4. прототипы, тема 5. асинхронная модель, тема 6. работа с сетью, тема 7. dom, тема 8. фичи es6, es7, es8, тема 9. dom (2), тема 10. вом, тема 11. паттерны проектирования, тема 12. состояние компонента, тема 13. архитектура, тема 14. инструменты web-разработки, тема 15. подведение итогов, фидбэк о курсе"
14,public speaking,"ораторское искусство - искусство публичного выступления, с целью убеждения. бывают ситуации, когда человеку нужно сказать что-то красиво и убедительно, а нужных эмоций в данный момент нет. здесь требуются особые навыки управления собой, которые можно приобрести в процессе обучения ораторскому искусству в ораторских школах или на специальных тренингах.",Soft Skills,16.0,,"занятие 1, занятие 2, занятие 3, занятие 4, занятие 5, контрольные вопросы , фидбэк о курсе"
